title,content warnings,date finished,date watched,favourite?,feels,genre,notes,progress,rating,"rating ",runtime,status,summary,tags,total,trailer,type,watched
a walk to remember,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,101 min,watchlist,"a popular teenager falls for a shy girl, learning about love and life lessons","drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
me before you,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,110 min,watchlist,"a caregiver develops a bond with a paralyzed man, changing both of their lives","drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
after,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,105 min,watchlist,a college freshman’s life is upended when she falls for a mysterious bad boy,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
after we collided,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,122 min,watchlist,the couple faces conflicts and challenges as their intense relationship continues,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
after we fell,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,111 min,watchlist,the protagonists confront secrets and obstacles that test their love and trust,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
after ever happy,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,110 min,watchlist,"the couple confronts betrayal, secrets, and obstacles as they fight for their love","drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
ps i love you,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,126 min,watchlist,a widow receives letters from her late husband guiding her through grief and new love,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the fault in our stars,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,126 min,watchlist,two teenagers with cancer fall in love and face life’s fragility together,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
midnight sun,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,91 min,watchlist,a teenage girl with a rare disease falls in love while trying to live a normal life,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the light between oceans,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,132 min,watchlist,a lighthouse keeper and his wife find a baby and face moral dilemmas that affect their love,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
if i stay,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,107 min,watchlist,a teenage girl faces a life-changing decision after a tragic accident,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
one day,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,107 min,watchlist,"a couple’s friendship evolves over 20 years, revealing missed opportunities and enduring love","drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
blue valentine,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,112 min,watchlist,"a couple’s relationship is shown in parallel timelines, from passionate beginnings to painful decline","drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
age of adaline,coarse language,,,No,"dramatic, romantic","drama, fantasy, romance",,0%,,,112 min,watchlist,a woman stops aging after an accident and navigates love across decades,"drama, fantasy, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
dear john,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,107 min,watchlist,"a soldier and college student fall in love, but war and distance challenge their relationship","drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
safe haven,"coarse language, violence",,,No,"dramatic, romantic, tense","drama, romance, thriller",,0%,,,115 min,watchlist,a woman escapes her past and finds love in a small town while secrets catch up with her,"drama, romance, thriller",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
nocturnal animals,"coarse language, violence",,,No,"dramatic, tense","drama, thriller",,0%,,,116 min,watchlist,"a woman reads a novel from her ex-husband, confronting dark themes and emotional turmoil","drama, thriller",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
only lovers left alive,"coarse language, sexual content",,,No,"dramatic, romantic","drama, fantasy, romance",,0%,,,123 min,watchlist,"two centuries-old vampires navigate love, art, and existential ennui","drama, fantasy, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the last letter from your lover,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,117 min,watchlist,a journalist discovers a decades-old love letter and uncovers a secret romance,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
all the bright places,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,108 min,watchlist,two teens struggling with personal loss find love and hope in each other,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
love story (1970),coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,100 min,watchlist,two college students fall deeply in love despite family disapproval and illness,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the effect,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,102 min,watchlist,two psychology students explore love while participating in a drug trial affecting emotions,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
unfaithful,"coarse language, sexual content, violence",,,No,"dramatic, romantic, tense","drama, romance, thriller",,0%,,,124 min,watchlist,a married woman’s affair leads to dangerous consequences for her and her husband,"drama, romance, thriller",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
a dangerous method,coarse language,,,No,"dramatic, serious","drama, romance",,0%,,,99 min,watchlist,a psychoanalyst’s work leads to love and conflict between colleagues,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the way we were,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,118 min,watchlist,a politically-minded woman and a carefree man navigate love and ideological differences,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
all good things,"coarse language, violence",,,No,"dramatic, tense","drama, romance, thriller",,0%,,,101 min,watchlist,a man investigates his wife’s disappearance uncovering dark secrets,"drama, romance, thriller",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
love and other disasters,coarse language,,,No,"funny, romantic","comedy, romance",,0%,,,95 min,watchlist,a young woman’s dating life is chaotic until unexpected romance appears,"comedy, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the space between us,coarse language,,,No,"dramatic, romantic","drama, romance, sci-fi",,0%,,,120 min,watchlist,a boy born on mars travels to earth to find love and discover life,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the secret garden (1993),coarse language,,,No,"dramatic, romantic","drama, fantasy, romance",,0%,,,101 min,watchlist,a young orphan discovers a magical garden that transforms her life and relationships,"drama, fantasy, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the secret garden (2020),coarse language,,,No,"dramatic, romantic","drama, fantasy, romance",,0%,,,99 min,watchlist,a modern adaptation where a young girl discovers magic and friendship in a hidden garden,"drama, fantasy, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
jane eyre (2011),coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,120 min,watchlist,a governess falls in love with her mysterious employer while uncovering dark secrets,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
jane eyre (1996),coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,133 min,watchlist,"a classic adaptation where a young woman navigates love, class, and secrets","drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
wuthering heights (2011),coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,129 min,watchlist,a tale of obsessive love and revenge between catherine and heathcliff,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
wuthering heights (1939),coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,103 min,watchlist,an early adaptation of the doomed romance and passion between catherine and heathcliff,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
a little romance,coarse language,,,No,"funny, romantic","comedy, romance",,0%,,,91 min,watchlist,"two young teenagers fall in love during a trip to paris, experiencing first love","comedy, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
somewhere in time,coarse language,,,No,"dramatic, romantic","drama, fantasy, romance",,0%,,,102 min,watchlist,a man uses self-hypnosis to travel back in time to meet the woman he loves,"drama, fantasy, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the prince of tides,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,138 min,watchlist,a man recounts his traumatic past to a psychiatrist and explores love and healing,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
autumn in new york,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,108 min,watchlist,a romance develops between a middle-aged man and a terminally ill woman,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the mirror has two faces,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,125 min,watchlist,a college professor and his colleague marry for convenience but explore love and intimacy,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
titanic,"coarse language, violence",,,No,"dramatic, romantic","drama, romance",,0%,,,195 min,watchlist,a young couple from different social classes fall in love aboard the doomed titanic,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
endless love (1981),coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,118 min,watchlist,teenage lovers face opposition and tragedy in their passionate romance,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
endless love (2014),coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,111 min,watchlist,a modern remake following star-crossed lovers overcoming obstacles for love,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
love me if you dare,coarse language,,,No,"dramatic, funny, romantic","comedy, drama, romance",,0%,,,97 min,watchlist,two childhood friends engage in a lifelong game of dares that leads to love,"comedy, drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
camille (2008),coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,101 min,watchlist,a young woman with cancer falls in love with a man from a wealthy family,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
far from heaven,coarse language,,,No,"dramatic, romantic","drama, romance",,0%,,,107 min,watchlist,a 1950s housewife faces societal pressures while exploring forbidden love,"drama, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
saving private ryan,"coarse language, gore, intense violence, violence",,,No,"dramatic, tense","action and adventure, drama",,0%,,,169 min,watchlist,allied soldiers embark on a dangerous mission to save a paratrooper during world war ii,"action, military, war",,[https://www.youtube.com/watch?v=2FQ7lNBbGJQ](https://www.youtube.com/watch?v=2FQ7lNBbGJQ),movie/film,
letters from iwo jima,"gore, intense violence, violence",,,No,"dramatic, tense","drama, historical",,0%,,,141 min,watchlist,the battle of iwo jima is shown from the perspective of japanese soldiers,"historical, military, war",,[https://www.youtube.com/watch?v=0v7o2I7Gkbk](https://www.youtube.com/watch?v=0v7o2I7Gkbk),movie/film,
flags of our fathers,"gore, intense violence, violence",,,No,"dramatic, tense","drama, historical",,0%,,,132 min,watchlist,the story of the men who raised the flag at iwo jima and their struggles after the battle,"historical, military, war",,[https://www.youtube.com/watch?v=1n-dg7_Lk0s](https://www.youtube.com/watch?v=1n-dg7_Lk0s),movie/film,
apocalypse now,"coarse language, drug use, intense violence, violence",,,No,"dramatic, tense","drama, thriller",,0%,,,147 min,watchlist,"a captain undertakes a secret mission during the vietnam war, descending into chaos and madness","military, psychological thriller, war",,[https://www.youtube.com/watch?v=IkrhkUeDCdQ](https://www.youtube.com/watch?v=IkrhkUeDCdQ),movie/film,
full metal jacket,"coarse language, intense violence, violence",,,No,"dramatic, tense",drama,,0%,,,116 min,watchlist,recruits undergo brutal training and face the horrors of the vietnam war,"military, war",,[https://www.youtube.com/watch?v=37sjX6f3j0k](https://www.youtube.com/watch?v=37sjX6f3j0k),movie/film,
platoon,"coarse language, gore, intense violence, violence",,,No,"dramatic, tense",drama,,0%,,,120 min,watchlist,a young soldier experiences the moral and physical challenges of combat in vietnam,"military, war",,[https://www.youtube.com/watch?v=ASzOzrB-a9E](https://www.youtube.com/watch?v=ASzOzrB-a9E),movie/film,
hiroshima mon amour,"coarse language, violence",,,No,"dramatic, romantic","drama, historical, romance",,0%,,,90 min,watchlist,a french actress reflects on love and memory while in post-war hiroshima,"drama, historical, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
glory,"intense violence, violence",,,No,"dramatic, tense","drama, historical",,0%,,,122 min,watchlist,the first all-black regiment fights for the union in the american civil war,"historical, military, war",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
dunkirk,"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama",,0%,,,106 min,watchlist,soldiers struggle to evacuate dunkirk while facing overwhelming enemy forces,"action, military, war",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
1917,"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama",,0%,,,119 min,watchlist,two soldiers must deliver a critical message across enemy lines during world war i,"action, military, war",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
lawrence of arabia,"intense violence, violence",,,No,"dramatic, serious","action and adventure, drama, historical",,0%,,,216 min,watchlist,a british officer unites arab tribes to fight the ottomans during world war i,"action, historical, war",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the bridge on the river kwai,"intense violence, violence",,,No,"dramatic, tense","drama, historical",,0%,,,161 min,watchlist,"allied prisoners of war are forced to build a bridge for the japanese army, testing morale and leadership","historical, military, war",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
paths of glory,"intense violence, violence",,,No,"dramatic, tense","drama, historical",,0%,,,88 min,watchlist,a french colonel defends his men against unjust charges during world war i,"historical, military, war",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
enemy at the gates,"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama",,0%,,,131 min,watchlist,a russian sniper faces a skilled german sniper during the battle of stalingrad,"action, military, war",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
gallipoli,"intense violence, violence",,,No,"dramatic, tense","drama, historical",,0%,,,118 min,watchlist,two australian soldiers experience friendship and tragedy during the gallipoli campaign in world war i,"historical, military, war",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the last of the mohicans,"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama, historical",,0%,,,112 min,watchlist,a frontiersman protects two sisters during the french and indian war while falling in love,"action, adventure, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
cain and abel,violence,,,No,"dramatic, serious",drama,,0%,,,132 min,watchlist,"a retelling of the biblical story of sibling rivalry, betrayal, and conflict","drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
kingdom of heaven,"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama, historical",,0%,,,144 min,watchlist,a blacksmith becomes a knight and defends jerusalem during the crusades,"action, adventure, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
alexander,"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama, historical",,0%,,,175 min,watchlist,alexander the great leads armies to conquer much of the known world,"action, adventure, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
cleopatra (1963),"coarse language, violence",,,No,"dramatic, romantic","drama, historical, romance",,0%,,,248 min,watchlist,queen cleopatra navigates love and politics with julius caesar and mark antony,"drama, historical, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the patriot,"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama",,0%,,,165 min,watchlist,a farmer leads a militia against the british during the american revolutionary war,"action, drama, war",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
valiant hearts: the great war,"intense violence, violence",,,No,"dramatic, serious",drama,,0%,,,90 min,watchlist,animated story of soldiers and civilians surviving the first world war,"drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the duelists,violence,,,No,"dramatic, serious","drama, historical",,0%,,,102 min,watchlist,two soldiers engage in a decades-long series of duels in napoleonic france,"drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
war horse,"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama",,0%,,,146 min,watchlist,a young man’s horse is sold to the cavalry and experiences the horrors of world war i,"action, drama, war",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the monuments men,"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama",,0%,,,118 min,watchlist,a group of men attempt to save art from nazi theft during world war ii,"action, drama, war",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
industrial society,,,,No,serious,educational,,0%,,,90 min,watchlist,explores the evolution and impact of industrialization on modern society,,,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
catastrophe,,,,No,serious,educational,,0%,,,85 min,watchlist,examines major disasters and their consequences on humanity,,,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the iron lady,coarse language,,,No,"dramatic, serious",drama,,0%,,,105 min,watchlist,a portrayal of margaret thatcher’s life and political career,"biopic, drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
lincoln,coarse language,,,No,"dramatic, serious",drama,,0%,,,150 min,watchlist,focuses on president abraham lincoln’s efforts to pass the 13th amendment,"biopic, drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
gilded age,,,,No,"dramatic, serious",drama,,0%,,,60 min,watchlist,depicts the social and political intrigues of late 19th-century america,"drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the young victoria,coarse language,,,No,"dramatic, serious",drama,,0%,,,104 min,watchlist,chronicles queen victoria’s early reign and personal life,"biopic, drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
victoria & abdul,coarse language,,,No,"dramatic, serious",drama,,0%,,,112 min,watchlist,explores the friendship and bond between queen victoria and abdul karim,"biopic, drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the king’s speech,coarse language,,,No,"dramatic, serious",drama,,0%,,,118 min,watchlist,king george vi overcomes his stammer with the help of a speech therapist,"biopic, drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
darkest hour,coarse language,,,No,"dramatic, serious",drama,,0%,,,125 min,watchlist,churchill navigates political pressure during world war ii and inspires his nation,"biopic, drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
churchill,coarse language,,,No,"dramatic, serious",drama,,0%,,,120 min,watchlist,depicts the final days of churchill during world war ii and the dilemmas he faces,"biopic, drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the assassination of jesse james by the coward robert ford,"intense violence, violence",,,No,"dramatic, serious",drama,,0%,,,160 min,watchlist,chronicles the life and assassination of outlaw jesse james,"drama, historical, western",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the untouchables,"intense violence, violence",,,No,"dramatic, tense","crime, drama",,0%,,,106 min,watchlist,federal agents attempt to bring down al capone during prohibition,"crime, drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
bonnie and clyde,"intense violence, violence",,,No,"dramatic, tense","crime, drama",,0%,,,111 min,watchlist,the infamous bank-robbing couple navigates love and crime during the great depression,"crime, drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
ride with the devil,"intense violence, violence",,,No,"dramatic, tense",drama,,0%,,,138 min,watchlist,a group of friends are torn apart by loyalties during the american civil war,"drama, historical, war",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
rebellion,violence,,,No,"dramatic, serious",drama,,0%,,,125 min,watchlist,focuses on political uprisings and conflicts in historical contexts,"drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
waterloo,"intense violence, violence",,,No,"dramatic, tense",drama,,0%,,,132 min,watchlist,depicts napoleon’s final battle and the strategies leading to his defeat,"drama, historical, war",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the conqueror,"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama",,0%,,,132 min,watchlist,genghis khan rises to power and leads his armies across asia,"action, drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
julius caesar (1953),"coarse language, violence",,,No,"dramatic, serious",drama,,0%,,,120 min,watchlist,shakespeare’s tale of political intrigue and betrayal in ancient rome,"drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
julius caesar (1970),"coarse language, violence",,,No,"dramatic, serious",drama,,0%,,,136 min,watchlist,classic adaptation depicting the assassination of julius caesar and its aftermath,"drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the last emperor,coarse language,,,No,"dramatic, serious",drama,,0%,,,163 min,watchlist,"the life of pu yi, china’s last emperor, from his childhood to imprisonment","drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the mission,"intense violence, violence",,,No,"dramatic, serious",drama,,0%,,,125 min,watchlist,jesuit priests defend a remote south american tribe from colonial powers,"drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
el cid,"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama",,0%,,,179 min,watchlist,spanish hero rodrigo diaz fights to defend his homeland from moorish invaders,"action, drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
elizabeth (1998),"coarse language, violence",,,No,"dramatic, serious",drama,,0%,,,123 min,watchlist,queen elizabeth i rises to power while navigating political intrigue and threats,"drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
elizabeth: the golden age,"intense violence, violence",,,No,"dramatic, serious",drama,,0%,,,115 min,watchlist,queen elizabeth i faces the spanish armada while balancing romance and politics,"drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
mary queen of scots (2018),"intense violence, violence",,,No,"dramatic, serious",drama,,0%,,,124 min,watchlist,mary stuart navigates her rivalry with queen elizabeth i while seeking to reclaim her throne,"drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
mary queen of scots (1971),"intense violence, violence",,,No,"dramatic, serious",drama,,0%,,,125 min,watchlist,depicts the political and personal life of mary stuart and her conflicts with elizabeth i,"drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
anne of the thousand days,"intense violence, violence",,,No,"dramatic, romantic","drama, romance",,0%,,,152 min,watchlist,anne boleyn’s rise and fall as she navigates love and power with henry viii,"drama, historical, romance",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
henry v (1989),"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama",,0%,,,137 min,watchlist,king henry v leads england to battle against france in the hundred years’ war,"action, drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
henry v (1944),"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama",,0%,,,134 min,watchlist,depicts king henry v’s leadership and victory at the battle of agincourt,"action, drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
richard iii (1995),"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama",,0%,,,104 min,watchlist,richard iii manipulates and murders to gain the english throne,"action, drama, historical",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
blade runner,"intense violence, violence",,,No,"dramatic, tense","action and adventure, sci-fi, thriller",,0%,,,117 min,watchlist,a detective hunts rogue androids in a dystopian future,"action, thriller",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
blade runner 2049,"intense violence, violence",,,No,"dramatic, tense","action and adventure, sci-fi, thriller",,0%,,,164 min,watchlist,a new blade runner uncovers secrets that could destabilize society,"action, thriller",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
arrival,coarse language,,,No,"dramatic, tense","drama, mystery, sci-fi",,0%,,,116 min,watchlist,a linguist communicates with alien visitors to prevent global conflict,"drama, mystery",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
interstellar,coarse language,,,No,"dramatic, tense","drama, sci-fi",,0%,,,169 min,watchlist,a team travels through a wormhole to save humanity from ecological collapse,"adventure, drama",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
gravity,violence,,,No,"dramatic, tense","action and adventure, sci-fi, thriller",,0%,,,91 min,watchlist,astronauts struggle to survive after a catastrophic accident in space,"action, thriller",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
dune (2021),"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama, sci-fi",,0%,,,155 min,watchlist,paul atreides leads a rebellion on a desert planet against oppressive forces,"action, drama",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
dune (1984),"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama, sci-fi",,0%,,,137 min,watchlist,paul atreides confronts political and mystical forces to reclaim his legacy,"action, drama",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
the martian,coarse language,,,No,"dramatic, tense","action and adventure, drama, sci-fi",,0%,,,144 min,watchlist,an astronaut stranded on mars fights to survive and return home,"action, drama",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
ex machina,coarse language,,,No,"dramatic, tense","drama, sci-fi, thriller",,0%,,,108 min,watchlist,a programmer tests a highly advanced ai and faces unexpected consequences,"drama, thriller",,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
gattaca,coarse language,,,No,"dramatic, tense","drama, sci-fi",,0%,,,106 min,watchlist,"in a future society, a man challenges genetic discrimination to pursue his dreams",drama,,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
moon,coarse language,,,No,"dramatic, tense","drama, sci-fi",,0%,,,97 min,watchlist,a solitary worker on a lunar base discovers unsettling truths about his mission,drama,,[https://www.youtube.com/watch?v=example](https://www.youtube.com/watch?v=example),movie/film,
